,Date,AAPL Open (USD),AAPL High (USD),NDAQ Open (USD)
193,2017-07-10,36.0275,36.487499,6156.029785
194,2017-07-11,36.182499,36.462502,6171.25
195,2017-07-12,36.467499,36.544998,6238.899902
196,2017-07-13,36.375,37.122501,6269.100098
197,2017-07-14,36.9925,37.3325,6289.080078
198,2017-07-17,37.205002,37.724998,6320.350098
199,2017-07-18,37.299999,37.532501,6304.819824
200,2017-07-19,37.619999,37.855,6363.240234
201,2017-07-20,37.875,37.935001,6396.459961
202,2017-07-21,37.497501,37.610001,6383.049805
203,2017-07-24,37.645,38.110001,6387.819824
204,2017-07-25,37.950001,38.459999,6407.589844
205,2017-07-26,38.337502,38.482498,6425.930176
206,2017-07-27,38.4375,38.497501,6459.759766
207,2017-07-28,37.4725,37.557499,6350.27002
208,2017-07-31,37.474998,37.5825,6394.689941
209,2017-08-01,37.275002,37.555,6372.160156
210,2017-08-02,39.82,39.9375,6393.100098
211,2017-08-03,39.262501,39.302502,6366.240234
212,2017-08-04,39.017502,39.349998,6350.790039
213,2017-08-07,39.264999,39.73,6361.060059
214,2017-08-08,39.650002,40.4575,6373.330078
215,2017-08-09,39.814999,40.317501,6322.919922
216,2017-08-10,39.974998,40.0,6312.649902
217,2017-08-11,39.150002,39.642502,6222.180176
218,2017-08-14,39.830002,40.052502,6306.109863
219,2017-08-15,40.165001,40.549999,6350.509766
220,2017-08-16,40.485001,40.627499,6348.109863
221,2017-08-17,40.130001,40.177502,6322.720215
222,2017-08-18,39.465,39.875,6222.459961
223,2017-08-21,39.375,39.4725,6216.319824
224,2017-08-22,39.557499,40.0,6241.209961
225,2017-08-23,39.767502,40.1175,6263.470215
226,2017-08-24,40.107498,40.185001,6294.819824
227,2017-08-25,39.912498,40.139999,6293.810059
228,2017-08-28,40.035,40.5,6286.009766
229,2017-08-29,40.025002,40.779999,6228.899902
230,2017-08-30,40.950001,40.9725,6308.680176
231,2017-08-31,40.91,41.130001,6385.799805
232,2017-09-01,41.200001,41.235001,6442.169922
233,2017-09-05,40.9375,41.0625,6414.819824
234,2017-09-06,40.677502,40.747501,6394.350098
235,2017-09-07,40.522499,40.560001,6402.939941
236,2017-09-08,40.215,40.287498,6389.649902
237,2017-09-11,40.125,40.512501,6411.180176
238,2017-09-12,40.6525,40.990002,6448.810059
239,2017-09-13,39.967499,39.990002,6440.720215
240,2017-09-14,39.747501,39.849998,6439.459961
241,2017-09-15,39.6175,40.2425,6426.160156
